@relation emotions

@attribute Engagement real
@attribute Excitement real
@attribute Stress real
@attribute Relaxation real
@attribute Interest real
@attribute Focus real 
@attribute Taste {1, 2, 3, 4, 5}

@data
0.334716,0.196544,0.240221,0.20799,0.435168,0.36223,4
0.318929,0.165499,0.247396,0.273894,0.434485,0.36794,4
0.36791,0.198254,0.280774,0.289755,0.438732,0.367382,4
0.692474,0.181305,0.316573,0.436004,0.384279,0.341581,1
0.487552,0.159442,0.406667,0.448199,0.408234,0.326402,1
0.626513,0.154454,0.378631,0.42245,0.386693,0.299416,1
0.627001,0.139205,0.434459,0.49632,0.407288,0.329671,1
0.588917,0.159845,0.361511,0.45005,0.389648,0.317242,1
0.543012,0.147258,0.375583,0.426029,0.38679,0.214857,1
0.475863,0.586668,0.458355,0.48882,0.503428,0.297597,2
0.721401,0.550869,0.392591,0.434656,0.413046,0.438386,2
0.687087,0.246891,0.329913,0.327082,0.411075,0.450471,2
0.728598,0.128053,0.34173,0.355846,0.407212,0.456384,2
0.620343,0.128331,0.376089,0.373605,0.407787,0.363446,2
0.423523,0.222832,0.310204,0.332245,0.431635,0.184168,3
0.678763,0.218271,0.397526,0.41507,0.411177,0.482982,3
0.65707,0.254,0.376394,0.39388,0.402717,0.287787,3
0.612703,0.174936,0.394665,0.423397,0.412266,0.342639,3
0.728974,0.154582,0.363734,0.391007,0.421637,0.458367,3
0.665802,0.201925,0.393044,0.434659,0.42415,0.42714,4
0.619107,0.570363,0.3074,0.329102,0.436642,0.391815,4
0.674813,0.603093,0.338916,0.357725,0.427242,0.397889,4
0.691036,0.651565,0.392502,0.450168,0.433417,0.321846,4
0.712772,0.310976,0.392848,0.408893,0.431187,0.333836,4
0.745897,0.202738,0.318502,0.309939,0.421577,0.43671,4
0.660202,0.156585,0.312218,0.326504,0.425759,0.431755,5
0.548848,0.28966,0.30168,0.359166,0.4544,0.388358,5
0.645205,0.318743,0.356682,0.371717,0.439387,0.249904,5
0.594489,0.218135,0.3937,0.4161,0.455812,0.257779,5
0.722901,0.187613,0.426995,0.388229,0.457419,0.41771,5
0.627034,0.194576,0.381808,0.410824,0.441433,0.305503,5
